model,type,magnitude,detected,detection_rate
if,drift_end,0.1,0.04,4.0
if,drift_end,0.25,0.07,7.000000000000001
if,drift_end,0.5,0.075,7.5
if,drift_end,1.0,0.1,10.0
if,drift_end,2.0,0.055,5.5
if,drift_end,3.0,0.08,8.0
if,drift_end,5.0,0.065,6.5
if,freeze,0.0,0.025,2.5
if,spike,0.1,0.165,16.5
if,spike,0.25,0.325,32.5
if,spike,0.5,0.325,32.5
if,spike,1.0,0.425,42.5
if,spike,2.0,0.42,42.0
if,spike,3.0,0.43,43.0
if,spike,5.0,0.425,42.5
pca,drift_end,0.1,0.015,1.5
pca,drift_end,0.25,0.185,18.5
pca,drift_end,0.5,0.705,70.5
pca,drift_end,1.0,1.0,100.0
pca,drift_end,2.0,1.0,100.0
pca,drift_end,3.0,1.0,100.0
pca,drift_end,5.0,1.0,100.0
pca,freeze,0.0,0.0,0.0
pca,spike,0.1,0.0,0.0
pca,spike,0.25,0.21,21.0
pca,spike,0.5,0.995,99.5
pca,spike,1.0,1.0,100.0
pca,spike,2.0,1.0,100.0
pca,spike,3.0,1.0,100.0
pca,spike,5.0,1.0,100.0
